,main_level,main_level_tag,sub_level,sub_level_tag,problem_idx,problem_comment,input_comment,output_comment,sample_data,chatGPT_output_code
0,17,조합론,3,팩토리얼,10872,"0보다 크거나 같은 정수 N이 주어진다. 이때, N!을 출력하는 프로그램을 작성하시오.",첫째 줄에 정수 N(0 ≤ N ≤ 12)이 주어진다.,첫째 줄에 N!을 출력한다.,"[['10', '3628800'], ['0', '1']]","#include <stdio.h>

int main() {
    int N, fact=1;
    scanf(""%d"", &N);
    for(int i=1; i<=N; i++) {
        fact *= i;
    }
    printf(""%d"", fact);
    return 0;
}"
1,17,조합론,5,다리 놓기,1010,재원이는 한 도시의 시장이 되었다. 이 도시에는 도시를 동쪽과 서쪽으로 나누는 큰 일직선 모양의 강이 흐르고 있다. 하지만 재원이는 다리가 없어서 시민들이 강을 건너는데 큰 불편을 겪고 있음을 알고 다리를 짓기로 결심하였다. 강 주변에서 다리를 짓기에 적합한 곳을 사이트라고 한다. 재원이는 강 주변을 면밀히 조사해 본 결과 강의 서쪽에는 N개의 사이트가 있고 동쪽에는 M개의 사이트가 있다는 것을 알았다. (N ≤ M),"입력의 첫 줄에는 테스트 케이스의 개수 T가 주어진다. 그 다음 줄부터 각각의 테스트케이스에 대해 강의 서쪽과 동쪽에 있는 사이트의 개수 정수 N, M (0 < N ≤ M < 30)이 주어진다.",각 테스트 케이스에 대해 주어진 조건하에 다리를 지을 수 있는 경우의 수를 출력한다.,"[['3\n2 2\n1 5\n13 29', '1\n5\n67863915']]","#include <stdio.h>

int main() {
    int T, i;
    scanf(""%d"", &T); // 테스트 케이스의 개수 입력
    for(i=0; i<T; i++) {
        int N, M, j;
        scanf(""%d %d"", &N, &M); // 각각의 테스트 케이스에 대해 강의 서쪽과 동쪽에 있는 사이트의 개수 입력
        int dp[31][31] = {0}; // 다리를 지을 수 있는 경우의 수를 저장할 DP 배열 초기화
        for(j=1; j<=M; j++) dp[1][j] = j; // 초기값 설정
        for(j=2; j<=N; j++) {
            for(int k=j; k<=M; k++) {
                for(int l=j-1; l<k; l++) {
                    dp[j][k] += dp[j-1][l]; // 점화식 적용
                }
            }
        }
        printf(""%d\n"", dp[N][M]); // 각각의 테스트 케이스에 대해 다리를 지을 수 있는 경우의 수 출력
    }
    return 0;
}"
2,19,스택,1,스택,10828,"정수를 저장하는 스택을 구현한 다음, 입력으로 주어지는 명령을 처리하는 프로그램을 작성하시오.","첫째 줄에 주어지는 명령의 수 N (1 ≤ N ≤ 10,000)이 주어진다. 둘째 줄부터 N개의 줄에는 명령이 하나씩 주어진다. 주어지는 정수는 1보다 크거나 같고, 100,000보다 작거나 같다. 문제에 나와있지 않은 명령이 주어지는 경우는 없다.","출력해야하는 명령이 주어질 때마다, 한 줄에 하나씩 출력한다.","[['14\npush 1\npush 2\ntop\nsize\nempty\npop\npop\npop\nsize\nempty\npop\npush 3\nempty\ntop', '2\n2\n0\n2\n1\n-1\n0\n1\n-1\n0\n3'], ['7\npop\ntop\npush 123\ntop\npop\ntop\npop', '-1\n-1\n123\n123\n-1\n-1']]","#include <stdio.h>
#include <string.h>

#define MAX_SIZE 10000

int stack[MAX_SIZE]; // 스택 선언
int top = -1; // 스택의 가장 위쪽 원소를 가리키는 인덱스. 초기값은 -1.

void push(int x) { // 스택에 x를 삽입하는 함수
    stack[++top] = x;
}

int pop() { // 스택에서 가장 위쪽 원소를 삭제하고 반환하는 함수
    if (top == -1) { // 스택이 비어있는 경우
        return -1;
    }
    else {
        return stack[top--];
    }
}

int size() { // 스택의 원소 개수를 반환하는 함수
    return top + 1;
}

int empty() { // 스택이 비어있으면 1, 아니면 0을 반환하는 함수
    if (top == -1) {
        return 1;
    }
    else {
        return 0;
    }
}

int top_func() { // 스택의 가장 위쪽 원소를 반환하는 함수
    if (top == -1) { // 스택이 비어있는 경우
        return -1;
    }
    else {
        return stack[top];
    }
}

int main() {
    int n;
    scanf(""%d"", &n);
    for (int i = 0; i < n; i++) {
        char command[10];
        scanf(""%s"", command);
        if (strcmp(command, ""push"") == 0) { // push 명령인 경우
            int x;
            scanf(""%d"", &x);
            push(x);
        }
        else if (strcmp(command, ""pop"") == 0) { // pop 명령인 경우
            printf(""%d\n"", pop());
        }
        else if (strcmp(command, ""size"") == 0) { // size 명령인 경우
            printf(""%d\n"", size());
        }
        else if (strcmp(command, ""empty"") == 0) { // empty 명령인 경우
            printf(""%d\n"", empty());
        }
        else if (strcmp(command, ""top"") == 0) { // top 명령인 경우
            printf(""%d\n"", top_func());
        }
    }
    return 0;
}"
3,21,재귀,1,팩토리얼 2,27433,"0보다 크거나 같은 정수 N이 주어진다. 이때, N!을 출력하는 프로그램을 작성하시오.",첫째 줄에 정수 N(0 ≤ N ≤ 20)이 주어진다.,첫째 줄에 N!을 출력한다.,"[['10', '3628800'], ['0', '1']]","#include <stdio.h>

int main() {
    int N;
    long long answer = 1; // N!의 결과를 저장할 변수

    scanf(""%d"", &N);

    for (int i = 2; i <= N; i++) {
        answer *= i; // i를 곱해서 N!을 계산한다
    }

    printf(""%lld\n"", answer);

    return 0;
}"
4,23,동적 계획법 1,3,01타일,1904,"지원이에게 2진 수열을 가르쳐 주기 위해, 지원이 아버지는 그에게 타일들을 선물해주셨다. 그리고 이 각각의 타일들은 0 또는 1이 쓰여 있는 낱장의 타일들이다.","첫 번째 줄에 자연수 N이 주어진다. (1 ≤ N ≤ 1,000,000)",첫 번째 줄에 지원이가 만들 수 있는 길이가 N인 모든 2진 수열의 개수를 15746으로 나눈 나머지를 출력한다.,"[['4', '5']]","#include <stdio.h>

int dp[1000001];

int main() {
    int n;
    scanf(""%d"", &n);
    dp[1] = 1;
    dp[2] = 2;
    for(int i=3; i<=n; i++) {
        dp[i] = (dp[i-1] + dp[i-2]) % 15746;
    }
    printf(""%d"", dp[n]);
    return 0;
}"
5,23,동적 계획법 1,5,연속합,1912,"n개의 정수로 이루어진 임의의 수열이 주어진다. 우리는 이 중 연속된 몇 개의 수를 선택해서 구할 수 있는 합 중 가장 큰 합을 구하려고 한다. 단, 수는 한 개 이상 선택해야 한다.","첫째 줄에 정수 n(1 ≤ n ≤ 100,000)이 주어지고 둘째 줄에는 n개의 정수로 이루어진 수열이 주어진다. 수는 -1,000보다 크거나 같고, 1,000보다 작거나 같은 정수이다.",첫째 줄에 답을 출력한다.,"[['10\n10 -4 3 1 5 6 -35 12 21 -1', '33'], ['10\n2 1 -4 3 4 -4 6 5 -5 1', '14'], ['5\n-1 -2 -3 -4 -5', '-1']]","#include <stdio.h>

int main() {
    int n, max_sum, current_sum, num;
    scanf(""%d"", &n);
    scanf(""%d"", &num);
    max_sum = current_sum = num;
    for (int i = 1; i < n; i++) {
        scanf(""%d"", &num);
        current_sum = (current_sum > 0) ? current_sum + num : num;
        if (current_sum > max_sum) {
            max_sum = current_sum;
        }
    }
    printf(""%d\n"", max_sum);
    return 0;
}"
6,23,동적 계획법 1,7,정수 삼각형,1932,위 그림은 크기가 5인 정수 삼각형의 한 모습이다.,"첫째 줄에 삼각형의 크기 n(1 ≤ n ≤ 500)이 주어지고, 둘째 줄부터 n+1번째 줄까지 정수 삼각형이 주어진다.",첫째 줄에 합이 최대가 되는 경로에 있는 수의 합을 출력한다.,"[['5\n7\n3 8\n8 1 0\n2 7 4 4\n4 5 2 6 5', '30']]","#include <stdio.h>

int max(int a, int b) {
    return a > b ? a : b;
}

int main() {
    int n;
    scanf(""%d"", &n);

    int triangle[n][n];

    // 삼각형 입력 받기
    for (int i = 0; i < n; i++) {
        for (int j = 0; j <= i; j++) {
            scanf(""%d"", &triangle[i][j]);
        }
    }

    // DP를 이용하여 합이 최대가 되는 경로의 합 구하기
    for (int i = n-2; i >= 0; i--) {
        for (int j = 0; j <= i; j++) {
            triangle[i][j] += max(triangle[i+1][j], triangle[i+1][j+1]);
        }
    }

    printf(""%d\n"", triangle[0][0]);

    return 0;
}"
7,23,동적 계획법 1,11,포도주 시식,2156,"효주는 포도주 시식회에 갔다. 그 곳에 갔더니, 테이블 위에 다양한 포도주가 들어있는 포도주 잔이 일렬로 놓여 있었다. 효주는 포도주 시식을 하려고 하는데, 여기에는 다음과 같은 두 가지 규칙이 있다.","첫째 줄에 포도주 잔의 개수 n이 주어진다. (1 ≤ n ≤ 10,000) 둘째 줄부터 n+1번째 줄까지 포도주 잔에 들어있는 포도주의 양이 순서대로 주어진다. 포도주의 양은 1,000 이하의 음이 아닌 정수이다.",첫째 줄에 최대로 마실 수 있는 포도주의 양을 출력한다.,"[['6\n6\n10\n13\n9\n8\n1', '33']]","#include <stdio.h>

int max(int a, int b) {
    return a > b ? a : b; // a와 b 중 더 큰 값을 반환하는 함수
}

int main() {
    int n, i;
    int grape[10001] = {0}; // 포도주의 양을 저장하는 배열
    int dp[10001] = {0}; // 다이나믹 프로그래밍을 위한 배열

    scanf(""%d"", &n);

    for (i = 1; i <= n; i++) {
        scanf(""%d"", &grape[i]);
    }

    dp[1] = grape[1]; // 첫 번째 잔은 무조건 마시므로 dp[1]에 초기값 할당
    dp[2] = grape[1] + grape[2]; // 두 번째 잔도 마시는 것이 최대이므로 초기값 할당

    for (i = 3; i <= n; i++) {
        // 경우의 수 3가지 중 가장 큰 값으로 dp[i]를 갱신
        dp[i] = max(max(dp[i-1], dp[i-2]+grape[i]), dp[i-3]+grape[i-1]+grape[i]);
    }

    printf(""%d\n"", dp[n]);

    return 0;
}"
8,23,동적 계획법 1,13,가장 긴 바이토닉 부분 수열,11054,"수열 S가 어떤 수 Sk를 기준으로 S1 < S2 < ... Sk-1 < Sk > Sk+1 > ... SN-1 > SN을 만족한다면, 그 수열을 바이토닉 수열이라고 한다.","첫째 줄에 수열 A의 크기 N이 주어지고, 둘째 줄에는 수열 A를 이루고 있는 Ai가 주어진다. (1 ≤ N ≤ 1,000, 1 ≤ Ai ≤ 1,000)",첫째 줄에 수열 A의 부분 수열 중에서 가장 긴 바이토닉 수열의 길이를 출력한다.,"[['10\n1 5 2 1 4 3 4 5 2 1', '7']]","#include <stdio.h>

int main() {
    int n, i, j;
    int a[1001];
    int inc[1001] = {0}; // 증가 수열 길이 저장 배열
    int dec[1001] = {0}; // 감소 수열 길이 저장 배열
    int max = 0;

    scanf(""%d"", &n);
    for(i=0; i<n; i++) {
        scanf(""%d"", &a[i]);
    }

    // 증가 수열 길이 구하기
    for(i=0; i<n; i++) {
        for(j=0; j<i; j++) {
            if(a[i] > a[j] && inc[i] < inc[j]) {
                inc[i] = inc[j];
            }
        }
        inc[i]++;
    }

    // 감소 수열 길이 구하기
    for(i=n-1; i>=0; i--) {
        for(j=n-1; j>i; j--) {
            if(a[i] > a[j] && dec[i] < dec[j]) {
                dec[i] = dec[j];
            }
        }
        dec[i]++;
    }

    // 가장 긴 바이토닉 수열 길이 구하기
    for(i=0; i<n; i++) {
        if(max < inc[i] + dec[i] - 1) {
            max = inc[i] + dec[i] - 1;
        }
    }

    printf(""%d"", max);

    return 0;
}"
9,23,동적 계획법 1,15,LCS,9251,"LCS(Longest Common Subsequence, 최장 공통 부분 수열)문제는 두 수열이 주어졌을 때, 모두의 부분 수열이 되는 수열 중 가장 긴 것을 찾는 문제이다.","첫째 줄과 둘째 줄에 두 문자열이 주어진다. 문자열은 알파벳 대문자로만 이루어져 있으며, 최대 1000글자로 이루어져 있다.",첫째 줄에 입력으로 주어진 두 문자열의 LCS의 길이를 출력한다.,"[['ACAYKP\nCAPCAK', '4']]","#include <stdio.h>
#include <string.h>

int lcs[1001][1001];

int max(int a, int b) {
    return a > b ? a : b;
}

int main() {
    char str1[1001], str2[1001];
    scanf(""%s %s"", str1, str2);

    int len1 = strlen(str1);
    int len2 = strlen(str2);

    for (int i = 1; i <= len1; i++) {
        for (int j = 1; j <= len2; j++) {
            if (str1[i - 1] == str2[j - 1]) {
                lcs[i][j] = lcs[i - 1][j - 1] + 1;
            } else {
                lcs[i][j] = max(lcs[i][j - 1], lcs[i - 1][j]);
            }
        }
    }

    printf(""%d\n"", lcs[len1][len2]);

    return 0;
}"
